company_id,symbol,listing_date,status
1,AADHARHFC.NS,2024-05-15,UPDATED
2,AARTIIND.NS,1995-02-08,UPDATED
3,AAVAS.NS,2018-10-08,UPDATED
4,ABB.NS,1995-02-08,UPDATED
5,ABBOTINDIA.NS,2010-01-08,UPDATED
6,ABCAPITAL.NS,2017-09-01,UPDATED
7,ABFRL.NS,2013-07-17,UPDATED
8,ABLBL.NS,2025-06-23,UPDATED
9,ABREL.NS,2003-06-27,UPDATED
10,ABSLAMC.NS,2021-10-11,UPDATED
11,ACC.NS,1996-11-20,UPDATED
12,ACE.NS,2006-09-26,UPDATED
13,ACMESOLAR.NS,2024-11-13,UPDATED
14,ADANIENSOL.NS,2015-07-31,UPDATED
15,ADANIENT.NS,1997-06-04,UPDATED
16,ADANIGREEN.NS,2018-06-18,UPDATED
17,ADANIPORTS.NS,2007-11-27,UPDATED
18,ADANIPOWER.NS,2009-08-20,UPDATED
19,ADVENTHTL.NS,2025-11-13,UPDATED
20,AEGISLOG.NS,1996-04-03,UPDATED
21,AEGISVOPAK.NS,2025-06-02,UPDATED
22,AFCONS.NS,2024-11-04,UPDATED
23,AFFLE.NS,2019-08-08,UPDATED
24,AGARWALEYE.NS,2025-02-04,UPDATED
25,AIAENG.NS,2005-12-14,UPDATED
26,AIIL.NS,2024-04-23,UPDATED
27,AJANTPHARM.NS,2000-05-29,UPDATED
28,AKUMS.NS,2024-08-06,UPDATED
29,AKZOINDIA.NS,2001-06-28,UPDATED
30,ALKEM.NS,2015-12-23,UPDATED
31,ALKYLAMINE.NS,2007-11-26,UPDATED
32,ALOKINDS.NS,2020-02-19,UPDATED
33,AMBER.NS,2018-01-30,UPDATED
34,AMBUJACEM.NS,1998-02-18,UPDATED
35,ANANDRATHI.NS,2021-12-14,UPDATED
36,ANANTRAJ.NS,2006-09-27,UPDATED
37,ANGELONE.NS,2020-10-05,UPDATED
38,APARINDS.NS,2004-07-12,UPDATED
39,APLAPOLLO.NS,2011-12-14,UPDATED
