price_history_id,company_id,symbol,trade_date,new_volume
413555,376,PNBHOUSING.NS,2021-10-20,450390
413556,376,PNBHOUSING.NS,2021-10-21,66528
413557,376,PNBHOUSING.NS,2021-10-22,1514077
413558,376,PNBHOUSING.NS,2021-10-25,303021
413559,376,PNBHOUSING.NS,2021-10-26,262258
413560,376,PNBHOUSING.NS,2021-10-27,353424
413561,376,PNBHOUSING.NS,2021-10-28,388502
413562,376,PNBHOUSING.NS,2021-10-29,341475
413563,376,PNBHOUSING.NS,2021-11-01,100883
413564,376,PNBHOUSING.NS,2021-11-02,302778
413565,376,PNBHOUSING.NS,2021-11-03,311880
92654,89,BRITANNIA.NS,2021-11-04,2275
154668,142,DLF.NS,2021-11-04,834164
166277,152,EMAMILTD.NS,2021-11-04,26836
169088,155,ENGINERSIN.NS,2021-11-04,392570
245767,223,IDFCFIRSTB.NS,2021-11-04,8
255265,233,INDIAMART.NS,2021-11-04,20707
292098,266,JSWSTEEL.NS,2021-11-04,352700
413566,376,PNBHOUSING.NS,2021-11-04,41153
415799,378,POLYCAB.NS,2021-11-04,134203
437571,398,RELINFRA.NS,2021-11-04,155775
470068,428,SONACOMS.NS,2021-11-04,1101448
518875,472,UBL.NS,2021-11-04,32220
532873,485,VIJAYA.NS,2021-11-04,19974
413567,376,PNBHOUSING.NS,2021-11-08,252948
413568,376,PNBHOUSING.NS,2021-11-09,185257
413569,376,PNBHOUSING.NS,2021-11-10,195699
413570,376,PNBHOUSING.NS,2021-11-11,160297
92865,89,BRITANNIA.NS,2022-09-12,3768
154879,142,DLF.NS,2022-09-12,9496756
166488,152,EMAMILTD.NS,2022-09-12,168744
169299,155,ENGINERSIN.NS,2022-09-12,4863654
245978,223,IDFCFIRSTB.NS,2022-09-12,16322659
292309,266,JSWSTEEL.NS,2022-09-12,2582240
416010,378,POLYCAB.NS,2022-09-12,128320
519086,472,UBL.NS,2022-09-12,83806
533084,485,VIJAYA.NS,2022-09-12,131188
549664,500,ZYDUSLIFE.NS,2022-09-12,834968
92894,89,BRITANNIA.NS,2022-10-24,1555
154908,142,DLF.NS,2022-10-24,821743
166517,152,EMAMILTD.NS,2022-10-24,18762
169328,155,ENGINERSIN.NS,2022-10-24,334673
246007,223,IDFCFIRSTB.NS,2022-10-24,32857762
255505,233,INDIAMART.NS,2022-10-24,11116
292338,266,JSWSTEEL.NS,2022-10-24,834558
416039,378,POLYCAB.NS,2022-10-24,74923
437811,398,RELINFRA.NS,2022-10-24,171756
470308,428,SONACOMS.NS,2022-10-24,160725
519115,472,UBL.NS,2022-10-24,27570
533113,485,VIJAYA.NS,2022-10-24,71664
549693,500,ZYDUSLIFE.NS,2022-10-24,171701
26860,31,ALKYLAMINE.NS,2023-05-24,13196
71592,70,BAYERCROP.NS,2023-05-24,9825
107521,101,CEATLTD.NS,2023-05-24,1292554
143502,132,DALBHARAT.NS,2023-05-24,169120
184018,169,FORTIS.NS,2023-05-24,2002607
416182,378,POLYCAB.NS,2023-05-24,180173
456604,416,SCHAEFFLER.NS,2023-05-24,103614
519258,472,UBL.NS,2023-05-24,431508
539940,492,WHIRLPOOL.NS,2023-05-24,99334
9703,10,ABSLAMC.NS,2024-01-15,283194
31706,35,ANANDRATHI.NS,2024-01-15,147261
34180,37,ANGELONE.NS,2024-01-15,431827
41417,43,APTUS.NS,2024-01-15,712875
50587,51,ATGL.NS,2024-01-15,1119817
55375,56,AWL.NS,2024-01-15,1154682
57849,58,BAJAJ-AUTO.NS,2024-01-15,440410
82795,80,BIKAJI.NS,2024-01-15,205533
